Price,Close,Ret_5,RevFactor,Quantile,Signal,CleanSignal,Reversal,Volatility,CombinedFactor,Position,Trade,Return,StrategyReturn,CumulativeReturn,Benchmark
Ticker,TQQQ,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,
2022-01-03,82.2970199584961,,,,,,,,,0.0,,,,,
2022-01-04,79.09899139404297,,,,,,,,,0.0,0.0,-0.03885959134444905,-0.0,1.0,0.961140408655551
2022-01-05,71.82293701171875,,,,,,,,,0.0,0.0,-0.09198668976798341,-0.0,1.0,0.8727282840610799
2022-01-06,71.62576293945312,,,,,,,,,0.0,0.0,-0.002745279996464789,-0.0,1.0,0.870332400560498
2022-01-07,69.28376007080078,,,,,,,,,0.0,0.0,-0.0326977720381435,-0.0,1.0,0.8418744701295606
2022-01-10,69.53864288330078,-0.15502842121901372,0.15502842121901372,,,,0.15502842121901372,0.037991440012817713,0.11703698120619602,0.0,0.0,0.0036788247670094254,0.0,1.0,0.8449715787809862
2022-01-11,72.59718322753906,-0.08219837006661967,0.08219837006661967,,,,0.08219837006661967,0.05053148565472672,0.03166688441189296,0.0,0.0,0.04398331945262579,0.0,1.0,0.8821362336588998
2022-01-12,73.42432403564453,0.022296317730149395,-0.022296317730149395,,,,-0.022296317730149395,0.027581918093659806,-0.0498782358238092,0.0,0.0,0.011393566132076982,0.0,1.0,0.8921869111745938
2022-01-13,68.09593963623047,-0.04928147580370623,0.04928147580370623,,,,0.04928147580370623,0.04468300945494709,0.004598466348759142,0.0,0.0,-0.07256974401054539,-0.0,1.0,0.8274411354210943
2022-01-14,69.12507629394531,-0.002290345915021197,0.002290345915021197,,,,0.002290345915021197,0.043509021621050935,-0.04121867570602974,0.0,0.0,0.015113039972904474,0.0,1.0,0.8399462863759388
2022-01-18,64.14290618896484,-0.07759335630680941,0.07759335630680941,,,,0.07759335630680941,0.05397708524274459,0.023616271064064824,0.0,0.0,-0.07207471401253063,-0.0,1.0,0.7794073979995059
2022-01-19,61.91151428222656,-0.14719123346453744,0.14719123346453744,,,,0.14719123346453744,0.042872746793251676,0.10431848667128577,0.0,0.0,-0.03478782049825757,-0.0,1.0,0.7522935133428851
2022-01-20,59.51661682128906,-0.18941552948589413,0.18941552948589413,,,,0.18941552948589413,0.035896110111487245,0.15351941937440688,0.0,0.0,-0.0386825857629689,-0.0,1.0,0.7231928549940737
2022-01-21,54.50559616088867,-0.199576414510786,0.199576414510786,,,,0.199576414510786,0.038747809864518805,0.1608286046462672,0.0,0.0,-0.08419532103861038,-0.0,1.0,0.6623034003950184
2022-01-24,55.29427719116211,-0.20008367215349676,0.20008367215349676,,,,0.20008367215349676,0.03850723358290866,0.1615764385705881,0.0,0.0,0.014469725786420584,0.0,1.0,0.6718867489861483
