Price,Close,Reversal,Volatility,CombinedFactor,Position,Signal,CleanSignal,Trade,Return,StrategyReturn,CumulativeReturn,Benchmark
Ticker,TQQQ,,,,,,,,,,,
Date,,,,,,,,,,,,
2022-01-03,82.29700469970703,,,,0.0,,,,,,,
2022-01-04,79.09899139404297,,,,0.0,,,0.0,-0.03885941313822139,-0.0,1.0,0.9611405868617786
2022-01-05,71.82293701171875,,,,0.0,,,0.0,-0.09198668976798341,-0.0,1.0,0.8727284458747067
2022-01-06,71.62576293945312,,,,0.0,,,0.0,-0.002745279996464789,-0.0,1.0,0.870332561929901
2022-01-07,69.28375244140625,,,,0.0,,,0.0,-0.03269787855560613,-0.0,1.0,0.8418745335169276
2022-01-10,69.53864288330078,0.15502826455179197,0.03799145903287544,0.11703680551891654,0.0,,,0.0,0.003678935290205132,0.0,1.0,0.844971735448208
2022-01-11,72.59717559814453,0.082198466520372,0.050531472679961026,0.03166699384041097,0.0,,,0.0,0.043983209738167606,0.0,1.0,0.88213630451125
2022-01-12,73.4243392944336,-0.022296530180234253,0.02758193326987986,-0.04987846345011411,0.0,,,0.0,0.011393882605953642,0.0,1.0,0.892187262007301
2022-01-13,68.0959243774414,0.0492816888386316,0.044683177212182824,0.004598511626448774,0.0,,,0.0,-0.07257014456235145,-0.0,1.0,0.8274411034267427
2022-01-14,69.12508392333984,0.0022901259310484923,0.043509212982516206,-0.041219087051467714,0.0,,,0.0,0.01511337947619329,0.0,1.0,0.8399465348170312
2022-01-18,64.14290618896484,0.07759335630680941,0.053977275151372676,0.023616081155436737,0.0,,,0.0,-0.07207481642843672,-0.0,1.0,0.7794075425103921
2022-01-19,61.9115104675293,0.14719119638709943,0.04287303903025081,0.10431815735684863,0.0,,,0.0,-0.034787879970107016,-0.0,1.0,0.7522936064737445
2022-01-20,59.5166130065918,0.1894157498928446,0.03589635103954766,0.15351939885329693,0.0,,,0.0,-0.03868258814640857,-0.0,1.0,0.7231929427293443
2022-01-21,54.505592346191406,0.19957629117304643,0.03874795450669876,0.16082833666634766,0.0,,,0.0,-0.0841953264350811,-0.0,1.0,0.6623034768407002
2022-01-24,55.294281005859375,0.20008370525551789,0.03850730371447239,0.1615764015410455,0.0,,,0.0,0.01446986677364448,0.0,1.0,0.6718869199143067
2022-01-25,51.21621322631836,0.20152958028693735,0.0388292751781232,0.16270030510881414,0.0,,,0.0,-0.07375207173973153,-0.0,1.0,0.6223338675957996
2022-01-26,51.12003707885742,0.17430479901361273,0.04319569573825312,0.13110910327535963,0.0,,,0.0,-0.0018778457328726406,-0.0,1.0,0.6211652205981126
2022-01-27,49.590763092041016,0.16677444184284207,0.04327842129383558,0.12349602054900649,0.0,,,0.0,-0.02991535363046316,-0.0,1.0,0.6025828433609755
